#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    htrig1_rate_bcm4a[f,13]/     htrig2_rate_bcm4a[f,14]/     htrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      htrig1_rate_bcm4b[f,29]/     htrig2_rate_bcm4b[f,30]/     htrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
2093     60.000000     59.557578      1304.999383     7.247261     1096.702417     6.581136     840.091673     5.763524     0.981185     0.981567     25.806909     28430.144911    332.293091    139.281268     80.727379     3.004775    0.998765    59.781166    1300.118544     7.220156     1092.600623     6.556522     836.949640     5.741968     0.981185     0.981567     25.903792    28430.144911    332.293091     139.281268     80.727379    3.004775    0.998765
2094     50.000000     49.693670      1311.137278     6.456650     1103.274650     5.834982     843.588161     5.107686     0.984947     0.986412     32.899682     23637.634197    276.927826    117.090897     68.156509     3.001285    0.997878    49.897993    1305.768431     6.430212     1098.756964     5.811089     840.133839     5.086771     0.984947     0.986412     33.034954    23637.634197    276.927826     117.090897     68.156509    3.001285    0.997878
2095     35.000000     34.848722      1311.726815     4.931518     1100.562200     4.401017     842.810949     3.855210     0.988588     0.989897     57.476907     16792.825243    193.742765    82.744704     48.712623     3.000619    0.997989    34.958195    1307.619106     4.916075     1097.115753     4.387235     840.171666     3.843137     0.988588     0.989897     57.657463    16792.825243    193.742765     82.744704     48.712623    3.000619    0.997989
