#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    htrig1_rate_bcm4a[f,13]/     htrig2_rate_bcm4a[f,14]/     htrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      htrig1_rate_bcm4b[f,29]/     htrig2_rate_bcm4b[f,30]/     htrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
2075     80.000000     76.117877      2653.400069     8.168009     2306.609308     7.716441     1756.628177     6.740625     0.959766     0.967945     40.362176     90559.021212    811.790358    312.547369     204.971601     3.000422    0.998021    78.476000    2572.512239     7.905833     2236.343556     7.468724     1702.834007     6.523694     0.959791     0.968065     41.770452    90546.734758    811.557429     312.407000     204.880826    3.000355    0.997976
2076     70.000000     68.444417      2584.722827     6.898745     2245.331561     6.493684     1708.535958     5.669601     0.964097     0.970673     55.230293     80782.891711    700.873057    274.130641     179.910084     3.000236    0.998208    68.675999    2576.006892     6.875481     2237.760061     6.471787     1702.774614     5.650483     0.964097     0.970673     55.417165    80782.891711    700.873057     274.130641     179.910084    3.000236    0.998208
2078     10.000000     10.013902      2614.968870     13.086336     2279.304975     11.611288     1738.138370     10.148599     0.993388     0.993526     17.018558     12093.031126    95.910353    43.134034     29.185170     2.999129    0.998230    9.902329    2644.432410     13.233783     2304.986493     11.742115     1757.722421     10.262946     0.993388     0.993526     16.828942    12093.031126    95.910353     43.134034     29.185170    2.999129    0.998230
2080     10.000000     10.038388      2594.407780     11.547490     2259.513497     10.237152     1716.409101     8.930430     0.993666     0.995528     21.697823     12148.040004    95.680524    43.101390     29.043924     3.000252    0.998204    9.929465    2622.867414     11.674161     2284.299485     10.349449     1735.237433     9.028393     0.993666     0.995528     21.462389    12148.040004    95.680524     43.101390     29.043924    3.000252    0.998204
2081     20.000000     19.939404      2625.233214     10.736330     2284.509952     9.795476     1741.867106     8.561327     0.988742     0.989511     24.080146     23978.225177    190.283528    83.022108     55.345588     3.000001    0.998139    19.908915    2629.253621     10.752772     2288.008509     9.810477     1744.534684     8.574438     0.988742     0.989511     24.043325    23978.225177    190.283528     83.022108     55.345588    3.000001    0.998139
2082     35.000000     34.723150      2603.186572     18.883039     2256.271160     17.464257     1724.437758     15.280269     0.980716     0.984663     7.543063     41645.230529    336.341746    141.455492     93.392203     3.001366    0.998377    34.812827    2596.480791     18.834396     2250.459033     17.419269     1719.995621     15.240907     0.980716     0.984663     7.562544    41645.230529    336.341746     141.455492     93.392203    3.001366    0.998377
2083     35.000000     34.803798      2606.960283     10.416145     2267.088391     9.650768     1728.943523     8.435075     0.980621     0.983170     24.822396     41906.328519    337.269816    141.623205     93.731239     2.999119    0.998293    34.895723    2600.092827     10.388706     2261.116258     9.625345     1724.388993     8.412855     0.980621     0.983170     24.887958    41906.328519    337.269816     141.623205     93.731239    2.999119    0.998293
2084     45.000000     44.712819      2610.786543     10.375894     2270.588724     9.674174     1716.493985     8.420360     0.975371     0.976633     24.873730     53547.242805    441.208176    181.305131     119.735807     3.000181    0.997862    44.842261    2603.250242     10.345943     2264.034433     9.646249     1711.539142     8.396053     0.975371     0.976633     24.945739    53547.242805    441.208176     181.305131     119.735807    3.000181    0.997862
2085     55.000000     54.592200      2608.038679     9.777431     2268.117960     9.155914     1726.039958     7.995039     0.971271     0.963423     27.856182     65016.029945    549.759617    221.363888     145.379004     3.000435    0.998039    54.769565    2599.592848     9.745768     2260.772864     9.126264     1720.450387     7.969148     0.971271     0.963423     27.946684    65016.029945    549.759617     221.363888     145.379004    3.000435    0.998039
