#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    ptrig1_rate_bcm4a[f,13]/     ptrig2_rate_bcm4a[f,14]/     ptrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      ptrig1_rate_bcm4b[f,29]/     ptrig2_rate_bcm4b[f,30]/     ptrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
3223     60.000000     59.555466      3198.708237     11.223666     1989.645358     9.197630     903.432713     6.215806     0.911872     0.914550     25.792287     10000524.588874    2677.807202    599.937523     193.500003     2.999445    0.994208    59.778950    3186.749820     11.181707     1982.207043     9.163245     900.055228     6.192568     0.911872     0.914550     25.889073    10000524.588874    2677.807202     599.937523     193.500003    2.999445    0.994208
3224     50.000000     49.691488      3180.931490     9.955160     1987.939856     8.101565     904.845871     5.480493     0.926062     0.921519     32.705829     85708.397161    2195.530240    498.766534     161.065930     3.000709    0.994649    49.895792    3167.906846     9.914398     1979.800040     8.068392     901.140892     5.458053     0.926062     0.921519     32.840296    85708.397161    2195.530240     498.766534     161.065930    3.000709    0.994649
3225     35.000000     34.854074      3185.461579     7.558157     1994.172453     6.064088     909.055380     4.108119     0.946924     0.942776     57.268624     60192.709687    1500.678942    347.272873     114.025529     2.999214    0.993282    34.963575    3175.485244     7.534486     1987.927048     6.045097     906.208361     4.095253     0.946924     0.942776     57.448543    60192.709687    1500.678942     347.272873     114.025529    2.999214    0.993282
