#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    htrig1_rate_bcm4a[f,13]/     htrig2_rate_bcm4a[f,14]/     htrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      htrig1_rate_bcm4b[f,29]/     htrig2_rate_bcm4b[f,30]/     htrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
2073     80.000000     76.117951      7279.630504     18.332436     3768.589920     13.637225     2934.886725     12.045941     0.930494     0.930070     21.777754     118619.260117    1614.317892    557.109453     335.841315     2.998895    0.998121    78.387007    7068.908235     17.801770     3659.501158     13.242471     2849.931056     11.697249     0.930494     0.930070     22.426943    118619.260117    1614.317892     557.109453     335.841315    2.998895    0.998121
2074     70.000000     68.420441      7164.268601     15.465683     3695.670151     11.432119     2876.123963     10.095206     0.938329     0.930408     30.135944     105709.013394    1402.228849    493.183876     296.906120     3.001460    0.998016    68.628128    7142.587563     15.418879     3684.485986     11.397522     2867.419999     10.064655     0.938329     0.930408     30.227421    105709.013394    1402.228849     493.183876     296.906120    3.001460    0.998016
2087     55.000000     54.617867      7175.527201     20.445320     3712.944017     15.040917     2890.802339     13.284623     0.948839     0.953684     17.297266     83818.306674    1086.499006    394.911713     238.885163     2.999721    0.998045    54.807978    7150.637633     20.374402     3700.064992     14.988744     2880.775101     13.238543     0.948839     0.953684     17.357473    83818.306674    1086.499006     394.911713     238.885163    2.999721    0.998045
2088     45.000000     44.726407      7194.451234     20.038296     3729.755750     14.664770     2903.690507     12.952067     0.959018     0.957096     18.084354     69676.280485    871.457855    324.779484     196.335788     2.997531    0.998027    44.870856    7171.290697     19.973789     3717.748793     14.617560     2894.342881     12.910371     0.959018     0.957096     18.142759    69676.280485    871.457855     324.779484     196.335788    2.997531    0.998027
2089     35.000000     34.949122      7201.940401     19.892010     3746.896323     14.507170     2912.115247     12.802393     0.966655     0.972785     18.417675     54732.983993    669.409494    254.699678     154.903735     2.998186    0.997976    35.040767    7177.854338     19.795071     3733.803555     14.435179     2901.167761     12.737167     0.966675     0.972257     18.536459    54714.134813    669.024661     254.515649     154.777832    2.998127    0.997982
2090     20.000000     20.021774      7180.216342     21.817506     3724.998938     15.709606     2906.362350     13.888722     0.980184     0.982213     15.398840     31664.126798    372.232832    146.757663     89.706908     2.996991    0.998228    19.980355    7195.101073     21.862735     3732.720923     15.742172     2912.387284     13.917514     0.980184     0.982213     15.366984    31664.126798    372.232832     146.757663     89.706908    2.996991    0.998228
2091     10.000000     10.303159      7186.879026     23.110665     3748.357140     16.453462     2912.626399     14.517474     0.988949     0.990182     14.000792     16477.566633    189.077295    77.045609     47.787764     2.998050    0.998105    10.187847    7268.224213     23.372244     3790.783196     16.639691     2945.593172     14.681791     0.988949     0.990182     13.844097    16477.566633    189.077295     77.045609     47.787764    2.998050    0.998105
