#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    htrig1_rate_bcm4a[f,13]/     htrig2_rate_bcm4a[f,14]/     htrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      htrig1_rate_bcm4b[f,29]/     htrig2_rate_bcm4b[f,30]/     htrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
2075     80.000000     76.117877      4066.678687     10.086194     2319.427904     7.737877     1802.677303     6.828519     0.959760     0.967945     40.362176     90559.021212    811.790358    312.547369     204.971601     3.000422    0.997994    78.476000    3942.691318     9.762417     2248.854314     7.489610     1747.429584     6.608677     0.959785     0.968065     41.770452    90546.734758    811.557429     312.407000     204.880826    3.000355    0.997963
2076     70.000000     68.444417      3961.322431     8.515715     2258.429475     6.512581     1756.123163     5.748119     0.964102     0.970673     55.230293     80782.891711    700.873057    274.130641     179.910084     3.000236    0.998167    68.675999    3947.964470     8.486999     2250.813864     6.490620     1750.201336     5.728735     0.964102     0.970673     55.417165    80782.891711    700.873057     274.130641     179.910084    3.000236    0.998167
2078     10.000000     10.013902      4007.918829     15.909151     2291.954665     11.643291     1780.433434     10.271124     0.993417     0.992937     17.018558     12093.031126    95.910353    43.134034     29.185170     2.999129    0.998241    9.902329    4053.077102     16.088403     2317.778700     11.774479     1800.494041     10.386851     0.993417     0.992937     16.828942    12093.031126    95.910353     43.134034     29.185170    2.999129    0.998241
2080     10.000000     10.038388      3994.778704     14.067132     2272.334779     10.266095     1758.533664     9.039900     0.993678     0.995220     21.697823     12148.040004    95.680524    43.101390     29.043924     3.000252    0.998072    9.929465    4038.599857     14.221443     2297.261376     10.378710     1777.824094     9.139065     0.993678     0.995220     21.462389    12148.040004    95.680524     43.101390     29.043924    3.000252    0.998072
2081     20.000000     19.939404      4013.264645     13.149560     2297.446157     9.823170     1784.434565     8.665674     0.988742     0.989235     24.080146     23978.225177    190.283528    83.022108     55.345588     3.000001    0.998054    19.908915    4019.410749     13.169698     2300.964593     9.838214     1787.167338     8.678945     0.988742     0.989235     24.043325    23978.225177    190.283528     83.022108     55.345588    3.000001    0.998054
2082     35.000000     34.723150      3987.372303     23.239484     2269.325301     17.515003     1767.270794     15.469083     0.980683     0.984663     7.543063     41645.230529    336.341746    141.455492     93.392203     3.001366    0.998384    34.812827    3977.100873     23.179620     2263.479547     17.469884     1762.718339     15.429235     0.980683     0.984663     7.562544    41645.230529    336.341746     141.455492     93.392203    3.001366    0.998384
2083     35.000000     34.803798      3983.016013     12.803598     2280.440166     9.679145     1774.789449     8.546084     0.980621     0.983170     24.822396     41906.328519    337.269816    141.623205     93.731239     2.999119    0.998315    34.895723    3972.523645     12.769870     2274.432866     9.653647     1770.114155     8.523572     0.980621     0.983170     24.887958    41906.328519    337.269816     141.623205     93.731239    2.999119    0.998315
2084     45.000000     44.712819      3987.781460     12.767873     2284.932686     9.704684     1760.483193     8.527868     0.975371     0.976633     24.873730     53547.242805    441.208176    181.305131     119.735807     3.000181    0.997793    44.842261    3976.270323     12.731017     2278.336955     9.676670     1755.401374     8.503251     0.975371     0.976633     24.945739    53547.242805    441.208176     181.305131     119.735807    3.000181    0.997793
2085     55.000000     54.592200      3999.902075     12.064999     2282.020305     9.184017     1770.957367     8.098561     0.971253     0.964076     27.856182     65016.029945    549.759617    221.363888     145.379004     3.000435    0.998018    54.769565    3986.948854     12.025928     2274.630224     9.154275     1765.222323     8.072335     0.971253     0.964076     27.946684    65016.029945    549.759617     221.363888     145.379004    3.000435    0.998018
