#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    htrig1_rate_bcm4a[f,13]/     htrig2_rate_bcm4a[f,14]/     htrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      htrig1_rate_bcm4b[f,29]/     htrig2_rate_bcm4b[f,30]/     htrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
2075     80.000000     76.575524      2637.542246     8.119194     2279.506518     7.648016     1800.648651     6.826028     0.959766     0.967945     40.604847     90559.021212    811.790358    312.547369     204.971601     3.000422    0.991630    78.476000    2572.512239     7.905833     2223.273225     7.446867     1755.966009     6.646001     0.959791     0.968065     41.770452    90546.734758    811.557429     312.407000     204.880826    3.000355    0.991616
2076     70.000000     68.837235      2569.973182     6.859377     2221.762943     6.441056     1754.436181     5.746662     0.964097     0.970673     55.547272     80782.891711    700.873057    274.130641     179.910084     3.000236    0.992025    68.675999    2576.006892     6.875481     2226.979143     6.456178     1758.555200     5.760154     0.964097     0.970673     55.417165    80782.891711    700.873057     274.130641     179.910084    3.000236    0.992025
2078     10.000000     9.913067      2641.568127     13.219449     2307.329791     11.741718     1807.827660     10.434194     0.993388     0.993526     16.847190     12093.031126    95.910353    43.134034     29.185170     2.999129    0.992185    9.902329    2644.432410     13.233783     2309.831629     11.754450     1809.787912     10.445508     0.993388     0.993526     16.828942    12093.031126    95.910353     43.134034     29.185170    2.999129    0.992185
2080     10.000000     9.937760      2620.678311     11.664418     2283.048890     10.342297     1785.677822     9.185022     0.993666     0.995528     21.480317     12148.040004    95.680524    43.101390     29.043924     3.000252    0.991657    9.929465    2622.867414     11.674161     2284.955960     10.350936     1787.169436     9.192694     0.993666     0.995528     21.462389    12148.040004    95.680524     43.101390     29.043924    3.000252    0.991657
2081     20.000000     19.922425      2627.470573     10.745480     2289.021119     9.809320     1797.552990     8.727734     0.988742     0.989511     24.059641     23978.225177    190.283528    83.022108     55.345588     3.000001    0.991989    19.908915    2629.253621     10.752772     2290.574479     9.815977     1798.772829     8.733657     0.988742     0.989511     24.043325    23978.225177    190.283528     83.022108     55.345588    3.000001    0.991989
2082     35.000000     34.831072      2595.120742     18.824531     2250.627838     17.415360     1772.966893     15.513000     0.980716     0.984663     7.566507     41645.230529    336.341746    141.455492     93.392203     3.001366    0.992819    34.812827    2596.480791     18.834396     2251.807340     17.424487     1773.896060     15.521130     0.980716     0.984663     7.562544    41645.230529    336.341746     141.455492     93.392203    3.001366    0.992819
2083     35.000000     34.912402      2598.850698     10.383743     2258.684563     9.617870     1781.933410     8.578794     0.980621     0.983170     24.899853     41906.328519    337.269816    141.623205     93.731239     2.999119    0.991611    34.895723    2600.092827     10.388706     2259.764140     9.622467     1782.785091     8.582894     0.980621     0.983170     24.887958    41906.328519    337.269816     141.623205     93.731239    2.999119    0.991611
2084     45.000000     44.905139      2599.605034     10.331456     2254.338584     9.618830     1762.256633     8.542875     0.975371     0.976633     24.980718     53547.242805    441.208176    181.305131     119.735807     3.000181    0.991029    44.842261    2603.250242     10.345943     2257.499648     9.632318     1764.727689     8.554854     0.975371     0.976633     24.945739    53547.242805    441.208176     181.305131     119.735807    3.000181    0.991029
2085     55.000000     54.856892      2594.830134     9.709974     2249.200174     9.077772     1770.711019     8.090163     0.971265     0.963565     28.101647     65002.597527    549.551861    221.273098     145.344677     3.000360    0.991205    54.769565    2599.592848     9.745768     2253.515251     9.111603     1774.087862     8.120267     0.971271     0.963423     27.946684    65016.029945    549.759617     221.363888     145.379004    3.000435    0.991174
