#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    htrig1_rate_bcm4a[f,13]/     htrig2_rate_bcm4a[f,14]/     htrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      htrig1_rate_bcm4b[f,29]/     htrig2_rate_bcm4b[f,30]/     htrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
2093     60.000000     59.875315      1298.074219     7.208803     1089.743411     6.542793     859.873434     5.835319     0.981185     0.981567     25.944587     28430.144911    332.293091    139.281268     80.727379     3.004775    0.991990    59.781166    1300.118544     7.220156     1091.459628     6.553097     861.227633     5.844509     0.981185     0.981567     25.903792    28430.144911    332.293091     139.281268     80.727379    3.004775    0.991990
2094     50.000000     49.928071      1304.981780     6.426338     1102.364411     5.818867     867.840939     5.184953     0.984947     0.986412     33.054868     23637.634197    276.927826    117.090897     68.156509     3.001285    0.991522    49.897993    1305.768431     6.430212     1103.028938     5.822375     868.364081     5.188078     0.984947     0.986412     33.034954    23637.634197    276.927826     117.090897     68.156509    3.001285    0.991522
2095     35.000000     34.957705      1307.637416     4.916144     1101.990888     4.397002     868.597747     3.919408     0.988588     0.989897     57.656655     16792.825243    193.742765    82.744704     48.712623     3.000619    0.992003    34.958195    1307.619106     4.916075     1101.975463     4.396941     868.585579     3.919353     0.988588     0.989897     57.657463    16792.825243    193.742765     82.744704     48.712623    3.000619    0.992003
