2073	78.3881	22426.9	59361	2.64686	0.926289	0.930486	1	0.9986
2074	68.6341	30227.4	81168	2.68524	0.934511	0.93828	1	0.9987
2075	78.4761	41770.5	69915	1.67379	0.956535	0.959839	1	0.9985
2076	68.6792	55417.2	93338	1.68428	0.961214	0.964174	1	0.9986
2078	9.90904	16799.5	29999	1.7857	0.992942	0.993399	1	0.9987
2081	19.911	24043.3	42415	1.76411	0.98785	0.988751	1	0.9987
2082	34.8149	7562.54	13052	1.72587	0.979214	0.980767	1	0.999
2083	34.8963	24888	43128	1.73289	0.979114	0.980675	1	0.9991
2084	44.8412	24945.7	42617	1.70839	0.973407	0.975392	1	0.9985
2085	54.7668	27946.7	47819	1.71108	0.968782	0.971181	1	0.9987
2087	54.8062	17357.5	47353	2.7281	0.945801	0.948824	1	0.9988
2088	44.8758	18142.8	50260	2.77025	0.956469	0.959008	1	0.9986
2089	35.0397	18536.5	51880	2.79881	0.964715	0.966727	1	0.9984
2090	19.9803	15367	43788	2.84949	0.979046	0.980225	1	0.9988
2091	10.1884	13844.1	40255	2.90774	0.988391	0.989011	1	0.9987
2093	59.7831	25903.8	22013	0.849798	0.980117	0.981177	1	0.9992
2094	49.8964	33035	28237	0.854761	0.984087	0.984972	1	0.9988
2095	34.9588	57657.5	49545	0.859299	0.98798	0.988612	1	0.9989
2096	39.8993	27427.8	14510	0.529025	0.990354	0.990952	1	0.9989
