2078	29496	16.8289	0.98469	1779.95	29496
2080	37125	21.4624	0.984493	1757.02	37125
2081	41506	24.0433	0.9802	1761.17	41506
2082	12728	7.56254	0.973823	1728.27	12728
2083	42046	24.888	0.972301	1737.54	42046
2084	41346	24.9457	0.965575	1716.53	41346
2085	46286	27.9467	0.962438	1720.86	46286
2073	56530	22.4269	0.922128	2733.49	56530
2074	77469	30.2274	0.930074	2755.56	77469
2087	45502	17.3575	0.940639	2786.9	45502
2088	48485	18.1428	0.950414	2811.84	48485
2089	50264	18.5365	0.957705	2831.38	50264
2090	42625	15.367	0.970973	2856.72	42625
2091	39412	13.8441	0.980035	2904.84	39412
2093	21405	25.9038	0.972945	849.305	21405
2094	27471	33.035	0.976295	851.765	27471
2095	48224	57.6575	0.979996	853.46	48224
2096	14096	27.4278	0.982226	523.231	14096
2075	68195	41.7705	0.951757	1715.37	68195
2076	91151	55.4172	0.956409	1719.78	91151
2078	29887	16.8289	0.985625	1801.83	29887
2080	37591	21.4624	0.985376	1777.48	37591
2081	42101	24.0433	0.980821	1785.29	42101
2082	12893	7.56254	0.973674	1750.94	12893
2083	42627	24.888	0.972394	1761.38	42627
2084	41932	24.9457	0.96662	1738.97	41932
2085	46908	27.9467	0.962729	1743.46	46908
2073	57248	22.4269	0.922081	2768.35	57248
2074	78459	30.2274	0.930683	2788.95	78459
2087	46094	17.3575	0.940911	2822.34	46094
2088	49093	18.1428	0.951103	2845.04	49093
2089	50967	18.5365	0.958038	2869.98	50967
2090	43208	15.367	0.971664	2893.74	43208
2091	39908	13.8441	0.980211	2940.87	39908
2093	21714	25.9038	0.973326	861.228	21714
2094	27786	33.035	0.976596	861.266	27786
2095	48831	57.6575	0.980681	863.599	48831
2096	14287	27.4278	0.982639	530.098	14287
2075	68195	41.7705	0.951757	1715.37	68195
2076	91151	55.4172	0.956409	1719.78	91151
2078	29887	16.8289	0.985625	1801.83	29887
2080	37591	21.4624	0.985376	1777.48	37591
2081	42101	24.0433	0.980821	1785.29	42101
2082	12893	7.56254	0.973674	1750.94	12893
2083	42627	24.888	0.972394	1761.38	42627
2084	41932	24.9457	0.96662	1738.97	41932
2085	46908	27.9467	0.962729	1743.46	46908
2073	57248	22.4269	0.922081	2768.35	57248
2074	78459	30.2274	0.930683	2788.95	78459
2087	46094	17.3575	0.940911	2822.34	46094
2088	49093	18.1428	0.951103	2845.04	49093
2089	50967	18.5365	0.958038	2869.98	50967
2090	43208	15.367	0.971664	2893.74	43208
2091	39908	13.8441	0.980211	2940.87	39908
2093	21714	25.9038	0.973326	861.228	21714
2094	27786	33.035	0.976596	861.266	27786
2095	48831	57.6575	0.980681	863.599	48831
2096	14287	27.4278	0.982639	530.098	14287
2075	67321	41.7705	0.951207	1694.36	67321
2076	89897	55.4172	0.955635	1697.5	89897
2078	29496	16.8289	0.98469	1779.95	29496
2080	37125	21.4624	0.984493	1757.02	37125
2081	41506	24.0433	0.9802	1761.17	41506
2082	12728	7.56254	0.973823	1728.27	12728
2083	42046	24.888	0.972301	1737.54	42046
2084	41346	24.9457	0.965575	1716.53	41346
2085	46286	27.9467	0.962438	1720.86	46286
2073	56530	22.4269	0.922128	2733.49	56530
2074	77469	30.2274	0.930074	2755.56	77469
2087	45502	17.3575	0.940639	2786.9	45502
2088	48485	18.1428	0.950414	2811.84	48485
2089	50264	18.5365	0.957705	2831.38	50264
2090	42625	15.367	0.970973	2856.72	42625
2091	39412	13.8441	0.980035	2904.84	39412
2093	21405	25.9038	0.972945	849.305	21405
2094	27471	33.035	0.976295	851.765	27471
2095	48224	57.6575	0.979996	853.46	48224
2096	14096	27.4278	0.982226	523.231	14096
2075	67534	41.7705	0.958303	1687.14	67534
2076	90409	55.4172	0.962645	1694.73	90409
2078	29844	16.8289	0.991924	1787.81	29844
2080	37566	21.4624	0.992228	1764.03	37566
2081	41926	24.0433	0.987218	1766.35	41926
2082	12814	7.56254	0.97941	1730.03	12814
2083	42379	24.888	0.979366	1738.67	42379
2084	41719	24.9457	0.973789	1717.4	41719
2085	46629	27.9467	0.96996	1720.17	46629
2073	56661	22.4269	0.929113	2719.23	56661
2074	77876	30.2274	0.936948	2749.71	77876
2087	45848	17.3575	0.947444	2787.92	45848
2088	48911	18.1428	0.957536	2815.45	48911
2089	50729	18.5365	0.965069	2835.77	50729
2090	43165	15.367	0.97881	2869.75	43165
2091	39923	13.8441	0.987497	2920.27	39923
2093	21709	25.9038	0.980465	854.76	21709
2094	27885	33.035	0.983311	858.432	27885
2095	49105	57.6575	0.9872	862.71	49105
2096	14372	27.4278	0.989834	529.376	14372
2075	68195	41.7705	0.951757	1715.37	68195
2076	91151	55.4172	0.956409	1719.78	91151
2078	29887	16.8289	0.985625	1801.83	29887
2080	37591	21.4624	0.985376	1777.48	37591
2081	42101	24.0433	0.980821	1785.29	42101
2082	12893	7.56254	0.973674	1750.94	12893
2083	42627	24.888	0.972394	1761.38	42627
2084	41932	24.9457	0.96662	1738.97	41932
2085	46908	27.9467	0.962729	1743.46	46908
2073	57248	22.4269	0.922081	2768.35	57248
2074	78459	30.2274	0.930683	2788.95	78459
2087	46094	17.3575	0.940911	2822.34	46094
2088	49093	18.1428	0.951103	2845.04	49093
2089	50967	18.5365	0.958038	2869.98	50967
2090	43208	15.367	0.971664	2893.74	43208
2091	39908	13.8441	0.980211	2940.87	39908
2093	21714	25.9038	0.973326	861.228	21714
2094	27786	33.035	0.976596	861.266	27786
2095	48831	57.6575	0.980681	863.599	48831
2096	14287	27.4278	0.982639	530.098	14287
2075	69809	41.7705	0.951757	1755.97	69809
2076	93206	55.4172	0.956409	1758.56	93206
2078	30019	16.8289	0.985625	1809.79	30019
2080	37796	21.4624	0.985376	1787.17	37796
2081	42419	24.0433	0.980821	1798.77	42419
2082	13062	7.56254	0.973674	1773.9	13062
2083	43145	24.888	0.972394	1782.79	43145
2084	42553	24.9457	0.966621	1764.73	42553
2085	47732	27.9467	0.962729	1774.09	47732
2073	59070	22.4269	0.922082	2856.46	59070
2074	80836	30.2274	0.930683	2873.44	80836
2087	47140	17.3575	0.940911	2886.39	47140
2088	50018	18.1428	0.951103	2898.65	50018
2089	51729	18.5365	0.95804	2912.89	51729
2090	43638	15.367	0.971664	2922.54	43638
2091	40140	13.8441	0.980211	2957.97	40140
2093	21714	25.9038	0.973326	861.228	21714
2094	28015	33.035	0.976596	868.364	28015
2095	49113	57.6575	0.980682	868.586	49113
2096	14378	27.4278	0.982639	533.475	14378
2075	68195	41.7705	0.951757	1715.37	68195
2076	91151	55.4172	0.956409	1719.78	91151
2078	29887	16.8289	0.985625	1801.83	29887
2080	37591	21.4624	0.985376	1777.48	37591
2081	42101	24.0433	0.980821	1785.29	42101
2082	12893	7.56254	0.973674	1750.94	12893
2083	42627	24.888	0.972394	1761.38	42627
2084	41932	24.9457	0.96662	1738.97	41932
2085	46908	27.9467	0.962729	1743.46	46908
2073	57248	22.4269	0.922081	2768.35	57248
2074	78459	30.2274	0.930683	2788.95	78459
2087	46094	17.3575	0.940911	2822.34	46094
2088	49093	18.1428	0.951103	2845.04	49093
2089	50967	18.5365	0.958038	2869.98	50967
2090	43208	15.367	0.971664	2893.74	43208
