#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    htrig1_rate_bcm4a[f,13]/     htrig2_rate_bcm4a[f,14]/     htrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      htrig1_rate_bcm4b[f,29]/     htrig2_rate_bcm4b[f,30]/     htrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
2093     60.000000     59.557578      1304.999383     7.247261     1087.974600     6.554897     830.496181     5.730695     0.981185     0.981567     25.806909     28430.144911    332.293091    139.281268     80.727379     3.004775    0.998702    59.781166    1300.118544     7.220156     1083.905457     6.530380     827.390034     5.709262     0.981185     0.981567     25.903792    28430.144911    332.293091     139.281268     80.727379    3.004775    0.998702
2094     50.000000     49.693670      1311.137278     6.456650     1096.516315     5.817083     835.119290     5.081810     0.984947     0.986412     32.899682     23637.634197    276.927826    117.090897     68.156509     3.001285    0.997946    49.897993    1305.768431     6.430212     1092.026291     5.793263     831.699641     5.061001     0.984947     0.986412     33.034954    23637.634197    276.927826     117.090897     68.156509    3.001285    0.997946
2095     35.000000     34.848722      1311.726815     4.931518     1097.095168     4.394079     837.746840     3.843644     0.988588     0.989897     57.476907     16792.825243    193.742765    82.744704     48.712623     3.000619    0.997971    34.958195    1307.619106     4.916075     1093.659581     4.380319     835.123409     3.831607     0.988588     0.989897     57.657463    16792.825243    193.742765     82.744704     48.712623    3.000619    0.997971
