#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    htrig1_rate_bcm4a[f,13]/     htrig2_rate_bcm4a[f,14]/     htrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      htrig1_rate_bcm4b[f,29]/     htrig2_rate_bcm4b[f,30]/     htrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
2073     80.000000     76.117951      4372.719124     14.233673     3597.647020     13.324344     2722.645208     11.602228     0.930494     0.930070     21.777754     118619.260117    1614.317892    557.109453     335.841315     2.998895    0.998117    78.387007    4246.142742     13.821653     3493.506502     12.938647     2643.833255     11.266380     0.930494     0.930070     22.426943    118619.260117    1614.317892     557.109453     335.841315    2.998895    0.998117
2074     70.000000     68.420441      4295.568057     11.999806     3547.106336     11.199980     2684.222363     9.752623     0.938329     0.930408     30.135944     105709.013394    1402.228849    493.183876     296.906120     3.001460    0.998012    68.628128    4282.568492     11.963492     3536.371855     11.166086     2676.099157     9.723109     0.938329     0.930408     30.227421    105709.013394    1402.228849     493.183876     296.906120    3.001460    0.998012
2087     55.000000     54.617867      4318.832908     15.901515     3594.618207     14.799311     2725.978042     12.900362     0.948839     0.953684     17.297266     83818.306674    1086.499006    394.911713     238.885163     2.999721    0.998042    54.807978    4303.852282     15.846357     3582.149614     14.747977     2716.522516     12.855615     0.948839     0.953684     17.357473    83818.306674    1086.499006     394.911713     238.885163    2.999721    0.998042
2088     45.000000     44.726407      4322.686991     15.579956     3628.621166     14.464581     2749.904223     12.604430     0.959018     0.957096     18.084354     69676.280485    871.457855    324.779484     196.335788     2.997531    0.998025    44.870856    4308.771301     15.529801     3616.939804     14.418016     2741.051680     12.563854     0.959018     0.957096     18.142759    69676.280485    871.457855     324.779484     196.335788    2.997531    0.998025
2089     35.000000     34.949122      4346.476882     15.512986     3662.868080     14.343578     2772.878101     12.492597     0.966655     0.972785     18.417675     54732.983993    669.409494    254.699678     154.903735     2.998186    0.997974    35.040767    4331.517772     15.436690     3650.203815     14.272663     2762.490213     12.429031     0.966675     0.972257     18.536459    54714.134813    669.024661     254.515649     154.777832    2.998127    0.997979
2090     20.000000     20.021774      4330.780863     17.057590     3670.075309     15.593360     2788.822524     13.604984     0.980184     0.982213     15.398840     31664.126798    372.232832    146.757663     89.706908     2.996991    0.998227    19.980355    4339.758657     17.092951     3677.683467     15.625685     2794.603808     13.633187     0.980184     0.982213     15.366984    31664.126798    372.232832     146.757663     89.706908    2.996991    0.998227
2091     10.000000     10.303159      4347.182575     18.201067     3717.229194     16.385001     2817.402711     14.278193     0.988949     0.990182     14.000792     16477.566633    189.077295    77.045609     47.787764     2.998050    0.998104    10.187847    4396.386461     18.407077     3759.302945     16.570456     2849.291673     14.439802     0.988949     0.990182     13.844097    16477.566633    189.077295     77.045609     47.787764    2.998050    0.998104
