#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    htrig1_rate_bcm4a[f,13]/     htrig2_rate_bcm4a[f,14]/     htrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      htrig1_rate_bcm4b[f,29]/     htrig2_rate_bcm4b[f,30]/     htrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
2075     80.000000     76.117877      2653.400069     8.168009     2239.595431     7.603522     1700.680499     6.632514     0.959766     0.967945     40.362176     90559.021212    811.790358    312.547369     204.971601     3.000422    0.997991    78.476000    2572.512239     7.905833     2171.416042     7.359506     1648.624161     6.419109     0.959791     0.968065     41.770452    90546.734758    811.557429     312.407000     204.880826    3.000355    0.997960
2076     70.000000     68.444417      2584.722827     6.898745     2188.108109     6.410403     1659.502163     5.587771     0.964097     0.970673     55.230293     80782.891711    700.873057    274.130641     179.910084     3.000236    0.998165    68.675999    2576.006892     6.875481     2180.729552     6.388786     1653.906162     5.568929     0.964097     0.970673     55.417165    80782.891711    700.873057     274.130641     179.910084    3.000236    0.998165
2078     10.000000     10.013902      2614.968870     13.086336     2277.057210     11.605561     1730.357489     10.125804     0.993388     0.993526     17.018558     12093.031126    95.910353    43.134034     29.185170     2.999129    0.998240    9.902329    2644.432410     13.233783     2302.713405     11.736324     1749.853881     10.239895     0.993388     0.993526     16.828942    12093.031126    95.910353     43.134034     29.185170    2.999129    0.998240
2080     10.000000     10.038388      2594.407780     11.547490     2255.385592     10.227796     1707.576497     8.908017     0.993666     0.995528     21.697823     12148.040004    95.680524    43.101390     29.043924     3.000252    0.998071    9.929465    2622.867414     11.674161     2280.126253     10.339991     1726.307943     9.005735     0.993666     0.995528     21.462389    12148.040004    95.680524     43.101390     29.043924    3.000252    0.998071
2081     20.000000     19.939404      2625.233214     10.736330     2272.035669     9.768696     1726.235692     8.523192     0.988742     0.989511     24.080146     23978.225177    190.283528    83.022108     55.345588     3.000001    0.998053    19.908915    2629.253621     10.752772     2275.515166     9.783656     1728.879322     8.536245     0.988742     0.989511     24.043325    23978.225177    190.283528     83.022108     55.345588    3.000001    0.998053
2082     35.000000     34.723150      2603.186572     18.883039     2230.316836     17.363519     1696.941842     15.157914     0.980716     0.984663     7.543063     41645.230529    336.341746    141.455492     93.392203     3.001366    0.998383    34.812827    2596.480791     18.834396     2224.571566     17.318791     1692.570511     15.118867     0.980716     0.984663     7.562544    41645.230529    336.341746     141.455492     93.392203    3.001366    0.998383
2083     35.000000     34.803798      2606.960283     10.416145     2241.781696     9.596753     1702.817093     8.371013     0.980621     0.983170     24.822396     41906.328519    337.269816    141.623205     93.731239     2.999119    0.998314    34.895723    2600.092827     10.388706     2235.876205     9.571472     1698.331399     8.348961     0.980621     0.983170     24.887958    41906.328519    337.269816     141.623205     93.731239    2.999119    0.998314
2084     45.000000     44.712819      2610.786543     10.375894     2235.223485     9.598539     1684.559674     8.341960     0.975371     0.976633     24.873730     53547.242805    441.208176    181.305131     119.735807     3.000181    0.997791    44.842261    2603.250242     10.345943     2228.771306     9.570832     1679.697028     8.317880     0.975371     0.976633     24.945739    53547.242805    441.208176     181.305131     119.735807    3.000181    0.997791
2085     55.000000     54.592200      2608.038679     9.777431     2222.989138     9.064369     1686.082960     7.902048     0.971271     0.963423     27.856182     65016.029945    549.759617    221.363888     145.379004     3.000435    0.998016    54.769565    2599.592848     9.745768     2215.790282     9.035015     1680.622777     7.876458     0.971271     0.963423     27.946684    65016.029945    549.759617     221.363888     145.379004    3.000435    0.998016
