#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    htrig1_rate_bcm4a[f,13]/     htrig2_rate_bcm4a[f,14]/     htrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      htrig1_rate_bcm4b[f,29]/     htrig2_rate_bcm4b[f,30]/     htrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
2073     80.000000     76.117951      4372.719124     14.233673     3747.666215     13.599315     3476.501471     13.336090     0.930494     0.930070     21.777754     118619.260117    1614.317892    557.109453     335.841315     2.998895    0.964625    78.387007    4246.142742     13.821653     3639.183135     13.205658     3375.867759     12.950052     0.930494     0.930070     22.426943    118619.260117    1614.317892     557.109453     335.841315    2.998895    0.964625
2074     70.000000     68.420441      4295.568057     11.999806     3677.386990     11.403806     3423.654822     11.208903     0.938329     0.930408     30.135944     105709.013394    1402.228849    493.183876     296.906120     3.001460    0.963660    68.628128    4282.568492     11.963492     3666.258174     11.369295     3413.293910     11.174982     0.938329     0.930408     30.227421    105709.013394    1402.228849     493.183876     296.906120    3.001460    0.963660
2087     55.000000     54.617867      4318.832908     15.901515     3694.055746     15.002610     3435.380322     14.730290     0.948839     0.953684     17.297266     83818.306674    1086.499006    394.911713     238.885163     2.999721    0.964678    54.807978    4303.852282     15.846357     3681.242262     14.950571     3423.464093     14.679195     0.948839     0.953684     17.357473    83818.306674    1086.499006     394.911713     238.885163    2.999721    0.964678
2088     45.000000     44.726407      4322.686991     15.579956     3709.863278     14.625610     3446.548067     14.350406     0.959018     0.957096     18.084354     69676.280485    871.457855    324.779484     196.335788     2.997531    0.964997    44.870856    4308.771301     15.529801     3697.920420     14.578527     3435.452851     14.304209     0.959018     0.957096     18.142759    69676.280485    871.457855     324.779484     196.335788    2.997531    0.964997
2089     35.000000     34.949122      4346.476882     15.512986     3729.596361     14.473641     3449.243532     14.166496     0.966655     0.972785     18.417675     54732.983993    669.409494    254.699678     154.903735     2.998186    0.965368    35.040767    4331.517772     15.436690     3716.503258     14.401698     3436.261909     14.094290     0.966675     0.972257     18.536459    54714.134813    669.024661     254.515649     154.777832    2.998127    0.965390
2090     20.000000     20.021774      4330.780863     17.057590     3703.864318     15.664976     3446.376225     15.390670     0.980184     0.982213     15.398840     31664.126798    372.232832    146.757663     89.706908     2.996991    0.963945    19.980355    4339.758657     17.092951     3711.542433     15.697450     3453.520604     15.422575     0.980184     0.982213     15.366984    31664.126798    372.232832     146.757663     89.706908    2.996991    0.963945
2091     10.000000     10.303159      4347.182575     18.201067     3727.918133     16.408542     3458.370997     16.075017     0.988949     0.990182     14.000792     16477.566633    189.077295    77.045609     47.787764     2.998050    0.966590    10.187847    4396.386461     18.407077     3770.112874     16.594263     3497.514815     16.256963     0.988949     0.990182     13.844097    16477.566633    189.077295     77.045609     47.787764    2.998050    0.966590
