#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    htrig1_rate_bcm4a[f,13]/     htrig2_rate_bcm4a[f,14]/     htrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      htrig1_rate_bcm4b[f,29]/     htrig2_rate_bcm4b[f,30]/     htrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
2075     80.000000     76.117877      2653.400069     8.168009     2307.461179     7.717866     1997.191813     7.308762     0.959766     0.967945     40.362176     90559.021212    811.790358    312.547369     204.971601     3.000422    0.965144    78.476000    2572.512239     7.905833     2237.166611     7.470098     1935.958649     7.073414     0.959791     0.968065     41.770452    90546.734758    811.557429     312.407000     204.880826    3.000355    0.965123
2076     70.000000     68.444417      2584.722827     6.898745     2246.120332     6.494825     1942.569907     6.147065     0.964097     0.970673     55.230293     80782.891711    700.873057    274.130641     179.910084     3.000236    0.965479    68.675999    2576.006892     6.875481     2238.546247     6.472923     1936.019377     6.126337     0.964097     0.970673     55.417165    80782.891711    700.873057     274.130641     179.910084    3.000236    0.965479
2078     10.000000     10.013902      2614.968870     13.086336     2280.014739     11.613095     1969.038352     10.982918     0.993388     0.993526     17.018558     12093.031126    95.910353    43.134034     29.185170     2.999129    0.965555    9.902329    2644.432410     13.233783     2305.704271     11.743943     1991.224019     11.106665     0.993388     0.993526     16.828942    12093.031126    95.910353     43.134034     29.185170    2.999129    0.965555
2080     10.000000     10.038388      2594.407780     11.547490     2260.070104     10.238412     1954.783108     9.689857     0.993666     0.995528     21.697823     12148.040004    95.680524    43.101390     29.043924     3.000252    0.965622    9.929465    2622.867414     11.674161     2284.862182     10.350724     1976.226301     9.796151     0.993666     0.995528     21.462389    12148.040004    95.680524     43.101390     29.043924    3.000252    0.965622
2081     20.000000     19.939404      2625.233214     10.736330     2285.223899     9.797006     1980.046341     9.274552     0.988742     0.989511     24.080146     23978.225177    190.283528    83.022108     55.345588     3.000001    0.966824    19.908915    2629.253621     10.752772     2288.723645     9.812010     1983.078677     9.288756     0.988742     0.989511     24.043325    23978.225177    190.283528     83.022108     55.345588    3.000001    0.966824
2082     35.000000     34.723150      2603.186572     18.883039     2257.217400     17.467919     1965.251357     16.590456     0.980716     0.984663     7.543063     41645.230529    336.341746    141.455492     93.392203     3.001366    0.965185    34.812827    2596.480791     18.834396     2251.402836     17.422922     1960.188874     16.547719     0.980716     0.984663     7.562544    41645.230529    336.341746     141.455492     93.392203    3.001366    0.965185
2083     35.000000     34.803798      2606.960283     10.416145     2267.581379     9.651817     1961.632093     9.135043     0.980621     0.983170     24.822396     41906.328519    337.269816    141.623205     93.731239     2.999119    0.965721    34.895723    2600.092827     10.388706     2261.608001     9.626392     1956.464607     9.110978     0.980621     0.983170     24.887958    41906.328519    337.269816     141.623205     93.731239    2.999119    0.965721
2084     45.000000     44.712819      2610.786543     10.375894     2271.330644     9.675755     1955.226537     9.144863     0.975371     0.976633     24.873730     53547.242805    441.208176    181.305131     119.735807     3.000181    0.963678    44.842261    2603.250242     10.345943     2264.774231     9.647825     1949.582596     9.118466     0.975371     0.976633     24.945739    53547.242805    441.208176     181.305131     119.735807    3.000181    0.963678
2085     55.000000     54.592200      2608.038679     9.777431     2269.005000     9.157705     1962.077757     8.663460     0.971271     0.963423     27.856182     65016.029945    549.759617    221.363888     145.379004     3.000435    0.966209    54.769565    2599.592848     9.745768     2261.657051     9.128048     1955.723788     8.635405     0.971271     0.963423     27.946684    65016.029945    549.759617     221.363888     145.379004    3.000435    0.966209
