#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    ptrig1_rate_bcm4a[f,13]/     ptrig2_rate_bcm4a[f,14]/     ptrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      ptrig1_rate_bcm4b[f,29]/     ptrig2_rate_bcm4b[f,30]/     ptrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
3204     80.000000     76.117954      11681.897790     23.105311     7376.330275     22.310659     10064.296080     29.576702     0.674938     0.667052     21.955936     453053.773605    18987.723323    2968.986742     892.200983     2.998826    0.776369    78.387164    11343.721483     22.436441     7162.794721     21.664793     9772.947315     28.720494     0.674938     0.667052     22.610481    453053.773605    18987.723323     2968.986742     892.200983    2.998826    0.776369
3205     70.000000     68.436813      11516.798014     19.928691     7272.613532     18.869294     10077.502709     25.189742     0.701706     0.683386     29.108785     401376.558496    16018.747701    2621.820036     791.172918     2.999966    0.777546    68.645043    11481.862681     19.868239     7250.552617     18.812055     10046.933332     25.113331     0.701706     0.683386     29.197353    401376.558496    16018.747701     2621.820036     791.172918    2.999966    0.777546
3217     55.000000     54.612427      11446.461568     25.785319     7254.128392     23.632969     10138.495625     31.649899     0.750830     0.718191     17.298446     322143.762512    11897.609297    2060.134220     628.121426     3.002375    0.779256    54.802598    11406.741134     25.695842     7228.955737     23.550961     10103.313991     31.540070     0.750830     0.718191     17.358683    322143.762512    11897.609297     2060.134220     628.121426    3.002375    0.779256
3218     45.000000     44.722834      11502.873704     25.375537     7285.218168     22.715564     10183.727365     30.402031     0.785765     0.791045     17.968119     265372.992405    9266.777292    1692.920321     517.442857     3.001747    0.780380    44.867250    11465.848963     25.293859     7261.768887     22.642448     10150.948644     30.304175     0.785765     0.791045     18.026140    265372.992405    9266.777292     1692.920321     517.442857    3.001747    0.780380
3219     35.000000     34.942033      11486.365535     25.061443     7295.022474     21.913596     10260.858388     29.369050     0.824511     0.826692     18.424801     208214.815267    6864.908304    1318.949410     404.355282     2.998315    0.783077    35.045201    11452.551570     24.987666     7273.547155     21.849086     10230.652218     29.282592     0.824511     0.826692     18.479201    208214.815267    6864.908304     1318.949410     404.355282    2.998315    0.783077
3220     20.000000     20.011171      11520.483644     27.431289     7306.279036     22.985951     10349.205959     30.911612     0.891617     0.892473     15.509332     119883.890361    3615.450649    756.589061     233.538240     2.999870    0.783236    19.969884    11544.302099     27.488002     7321.384586     23.033474     10370.602820     30.975522     0.891617     0.892473     15.477332    119883.890361    3615.450649     756.589061     233.538240    2.999870    0.783236
3221     10.000000     10.300539      11472.156081     29.012812     7283.040688     23.545434     10442.076791     31.862117     0.940068     0.940713     13.974618     61866.827482    1759.080190    393.348358     121.165661     2.996267    0.782958    10.185332    11601.918443     29.340978     7365.419704     23.811758     10560.187859     32.222512     0.940068     0.940713     13.818318    61866.827482    1759.080190     393.348358     121.165661    2.996267    0.782958
