#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    htrig1_rate_bcm4a[f,13]/     htrig2_rate_bcm4a[f,14]/     htrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      htrig1_rate_bcm4b[f,29]/     htrig2_rate_bcm4b[f,30]/     htrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
2075     80.000000     76.117877      2653.400069     8.168009     2308.054917     7.718859     1752.175595     6.732169     0.959766     0.967945     40.362176     90559.021212    811.790358    312.547369     204.971601     3.000422    0.997993    78.476000    2572.512239     7.905833     2237.815169     7.471181     1698.531810     6.515537     0.959791     0.968065     41.770452    90546.734758    811.557429     312.407000     204.880826    3.000355    0.997963
2076     70.000000     68.444417      2584.722827     6.898745     2248.411563     6.498136     1705.858881     5.665273     0.964097     0.970673     55.230293     80782.891711    700.873057    274.130641     179.910084     3.000236    0.998167    68.675999    2576.006892     6.875481     2240.829712     6.476224     1700.106572     5.646170     0.964097     0.970673     55.417165    80782.891711    700.873057     274.130641     179.910084    3.000236    0.998167
2078     10.000000     10.013902      2614.968870     13.086336     2290.011193     11.638526     1740.845077     10.156443     0.993388     0.993526     17.018558     12093.031126    95.910353    43.134034     29.185170     2.999129    0.998241    9.902329    2644.432410     13.233783     2315.813337     11.769660     1760.459624     10.270878     0.993388     0.993526     16.828942    12093.031126    95.910353     43.134034     29.185170    2.999129    0.998241
2080     10.000000     10.038388      2594.407780     11.547490     2270.552265     10.262128     1719.193278     8.938264     0.993666     0.995528     21.697823     12148.040004    95.680524    43.101390     29.043924     3.000252    0.998071    9.929465    2622.867414     11.674161     2295.459343     10.374699     1738.052159     9.036313     0.993666     0.995528     21.462389    12148.040004    95.680524     43.101390     29.043924    3.000252    0.998071
2081     20.000000     19.939404      2625.233214     10.736330     2293.708097     9.815176     1743.067612     8.564641     0.988742     0.989511     24.080146     23978.225177    190.283528    83.022108     55.345588     3.000001    0.998054    19.908915    2629.253621     10.752772     2297.220763     9.830207     1745.737031     8.577758     0.988742     0.989511     24.043325    23978.225177    190.283528     83.022108     55.345588    3.000001    0.998054
2082     35.000000     34.723150      2603.186572     18.883039     2264.517088     17.496141     1724.967617     15.282564     0.980716     0.984663     7.543063     41645.230529    336.341746    141.455492     93.392203     3.001366    0.998384    34.812827    2596.480791     18.834396     2258.683717     17.451071     1720.524100     15.243196     0.980716     0.984663     7.562544    41645.230529    336.341746     141.455492     93.392203    3.001366    0.998384
2083     35.000000     34.803798      2606.960283     10.416145     2275.921144     9.669550     1730.099159     8.437802     0.980621     0.983170     24.822396     41906.328519    337.269816    141.623205     93.731239     2.999119    0.998315    34.895723    2600.092827     10.388706     2269.925728     9.644077     1725.541607     8.415574     0.980621     0.983170     24.887958    41906.328519    337.269816     141.623205     93.731239    2.999119    0.998315
2084     45.000000     44.712819      2610.786543     10.375894     2278.337729     9.690668     1716.861117     8.421553     0.975371     0.976633     24.873730     53547.242805    441.208176    181.305131     119.735807     3.000181    0.997792    44.842261    2603.250242     10.345943     2271.761080     9.662695     1711.905224     8.397243     0.975371     0.976633     24.945739    53547.242805    441.208176     181.305131     119.735807    3.000181    0.997792
2085     55.000000     54.592200      2608.038679     9.777431     2273.070649     9.165905     1723.558639     7.989376     0.971271     0.963423     27.856182     65016.029945    549.759617    221.363888     145.379004     3.000435    0.998017    54.769565    2599.592848     9.745768     2265.709571     9.136223     1717.977077     7.963504     0.971271     0.963423     27.946684    65016.029945    549.759617     221.363888     145.379004    3.000435    0.998017
