#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    htrig1_rate_bcm4a[f,13]/     htrig2_rate_bcm4a[f,14]/     htrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      htrig1_rate_bcm4b[f,29]/     htrig2_rate_bcm4b[f,30]/     htrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
2075     80.000000     76.575524      2637.542246     8.119194     2244.429327     7.588944     1759.013218     6.746649     0.959766     0.967945     40.604847     90559.021212    811.790358    312.547369     204.971601     3.000422    0.991630    78.476000    2572.512239     7.905833     2189.050995     7.389331     1715.367682     6.568723     0.959791     0.968065     41.770452    90546.734758    811.557429     312.407000     204.880826    3.000355    0.991616
2076     70.000000     68.837235      2569.973182     6.859377     2190.205412     6.395149     1715.754694     5.682958     0.964097     0.970673     55.547272     80782.891711    700.873057    274.130641     179.910084     3.000236    0.992025    68.675999    2576.006892     6.875481     2195.347498     6.410163     1719.782884     5.696301     0.964097     0.970673     55.417165    80782.891711    700.873057     274.130641     179.910084    3.000236    0.992025
2078     10.000000     9.913067      2641.568127     13.219449     2300.936290     11.725439     1799.878259     10.411228     0.993388     0.993526     16.847190     12093.031126    95.910353    43.134034     29.185170     2.999129    0.992185    9.902329    2644.432410     13.233783     2303.431210     11.738153     1801.829890     10.422517     0.993388     0.993526     16.828942    12093.031126    95.910353     43.134034     29.185170    2.999129    0.992185
2080     10.000000     9.937760      2620.678311     11.664418     2275.084230     10.324241     1775.992557     9.160079     0.993666     0.995528     21.480317     12148.040004    95.680524    43.101390     29.043924     3.000252    0.991657    9.929465    2622.867414     11.674161     2276.984633     10.332865     1777.476094     9.167730     0.993666     0.995528     21.462389    12148.040004    95.680524     43.101390     29.043924    3.000252    0.991657
2081     20.000000     19.922425      2627.470573     10.745480     2277.040669     9.783616     1784.077386     8.694958     0.988742     0.989511     24.059641     23978.225177    190.283528    83.022108     55.345588     3.000001    0.991989    19.908915    2629.253621     10.752772     2278.585905     9.790255     1785.288078     8.700858     0.988742     0.989511     24.043325    23978.225177    190.283528     83.022108     55.345588    3.000001    0.991989
2082     35.000000     34.831072      2595.120742     18.824531     2232.704770     17.345877     1750.027724     15.412317     0.980716     0.984663     7.566507     41645.230529    336.341746    141.455492     93.392203     3.001366    0.992819    34.812827    2596.480791     18.834396     2233.874883     17.354967     1750.944869     15.420394     0.980716     0.984663     7.562544    41645.230529    336.341746     141.455492     93.392203    3.001366    0.992819
2083     35.000000     34.912402      2598.850698     10.383743     2241.278901     9.580740     1760.539476     8.527140     0.980621     0.983170     24.899853     41906.328519    337.269816    141.623205     93.731239     2.999119    0.991611    34.895723    2600.092827     10.388706     2242.350123     9.585319     1761.380924     8.531215     0.980621     0.983170     24.887958    41906.328519    337.269816     141.623205     93.731239    2.999119    0.991611
2084     45.000000     44.905139      2599.605034     10.331456     2233.202120     9.573631     1736.539523     8.480313     0.975371     0.976633     24.980718     53547.242805    441.208176    181.305131     119.735807     3.000181    0.991029    44.842261    2603.250242     10.345943     2236.333537     9.587055     1738.974534     8.492204     0.975371     0.976633     24.945739    53547.242805    441.208176     181.305131     119.735807    3.000181    0.991029
2085     55.000000     54.856892      2594.830134     9.709974     2223.810102     9.026390     1740.179597     8.020112     0.971265     0.963565     28.101647     65002.597527    549.551861    221.273098     145.344677     3.000360    0.991205    54.769565    2599.592848     9.745768     2227.984613     9.059843     1743.461686     8.049872     0.971271     0.963423     27.946684    65016.029945    549.759617     221.363888     145.379004    3.000435    0.991174
