#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    htrig1_rate_bcm4a[f,13]/     htrig2_rate_bcm4a[f,14]/     htrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      htrig1_rate_bcm4b[f,29]/     htrig2_rate_bcm4b[f,30]/     htrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
2073     80.000000     76.575599      4346.585925     14.148606     3617.547160     13.321159     2833.835861     11.843895     0.930494     0.930070     21.908689     118619.260117    1614.317892    557.109453     335.841315     2.998895    0.990958    78.387007    4246.142742     13.821653     3533.950974     13.013327     2768.350118     11.570200     0.930494     0.930070     22.426943    118619.260117    1614.317892     557.109453     335.841315    2.998895    0.990958
2074     70.000000     68.813056      4271.059556     11.931341     3559.498695     11.187475     2781.450444     9.930016     0.938329     0.930408     30.308873     105709.013394    1402.228849    493.183876     296.906120     3.001460    0.991852    68.628128    4282.568492     11.963492     3569.090220     11.217621     2788.945426     9.956774     0.938329     0.930408     30.227421    105709.013394    1402.228849     493.183876     296.906120    3.001460    0.991852
2087     55.000000     54.893871      4297.118044     15.821563     3600.733429     14.774610     2817.924484     13.125237     0.948839     0.953684     17.384675     83818.306674    1086.499006    394.911713     238.885163     2.999721    0.991645    54.807978    4303.852282     15.846357     3606.376306     14.797764     2822.340601     13.145806     0.948839     0.953684     17.357473    83818.306674    1086.499006     394.911713     238.885163    2.999721    0.991645
2088     45.000000     44.918842      4304.168334     15.513211     3625.878869     14.428109     2842.001282     12.826687     0.959018     0.957096     18.162161     69676.280485    871.457855    324.779484     196.335788     2.997531    0.991747    44.870856    4308.771301     15.529801     3629.756473     14.443539     2845.040581     12.840404     0.959018     0.957096     18.142759    69676.280485    871.457855     324.779484     196.335788    2.997531    0.991747
2089     35.000000     35.047344      4330.704954     15.433794     3670.107984     14.310181     2869.444614     12.710227     0.966675     0.972257     18.539938     54714.134813    669.024661    254.515649     154.777832     2.998127    0.991066    35.040767    4331.517772     15.436690     3670.796846     14.312866     2869.983159     12.712613     0.966675     0.972257     18.536459    54714.134813    669.024661     254.515649     154.777832    2.998127    0.991066
2090     20.000000     20.005491      4334.305803     17.071473     3680.820352     15.622524     2890.102964     13.903727     0.980184     0.982213     15.386316     31664.126798    372.232832    146.757663     89.706908     2.996991    0.991308    19.980355    4339.758657     17.092951     3685.451108     15.642178     2893.738935     13.921219     0.980184     0.982213     15.366984    31664.126798    372.232832     146.757663     89.706908    2.996991    0.991308
2091     10.000000     10.204768      4389.096726     18.376556     3747.527684     16.530762     2935.994272     14.696882     0.988949     0.990182     13.867090     16477.566633    189.077295    77.045609     47.787764     2.998050    0.991164    10.187847    4396.386461     18.407077     3753.751822     16.558217     2940.870598     14.721292     0.988949     0.990182     13.844097    16477.566633    189.077295     77.045609     47.787764    2.998050    0.991164
