#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    htrig1_rate_bcm4a[f,13]/     htrig4_rate_bcm4a[f,14]/     htrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      htrig1_rate_bcm4b[f,29]/     htrig4_rate_bcm4b[f,30]/     htrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
13874     65.000000     60.217708      1828640.842830     224.313155     1142591.964776     1819.467007     799755.478111     1527.731644     1.190324     1.380885     37.404804     445744.508711    171277.210777    113334.229689     93967.298891     3217.669282    0.992797    67.849568    1622951.542876     199.081948     1014070.855267     1614.809599     709797.329292     1355.889232     1.190324     1.380885     42.145407    445744.508711    171277.210777     113334.229689     93967.298891    3217.669282    0.992797
13876     55.000000     47.396663      1849589.762580     247.202869     1229746.036861     1560.247216     860180.172958     1308.817897     1.046365     1.167979     31.380410     356836.076293    136600.381991    90889.432357     75416.321795     3225.050043    0.994037    53.387795    1642030.392215     219.461976     1091744.997629     1385.157617     763651.498260     1161.943480     1.046365     1.167979     35.347022    356836.076293    136600.381991     90889.432357     75416.321795    3225.050043    0.994037
13877     40.000000     34.591617      1865479.600125     330.266161     1262669.954604     2070.223374     884296.494064     1736.614188     1.066415     1.197152     17.957355     264276.165557    101128.420916    67755.006058     56347.864910     3225.049339    0.995258    38.989115    1655076.211667     293.016159     1120256.163260     1836.727381     784558.617935     1540.745249     1.066415     1.197152     20.240203    264276.165557    101128.420916     67755.006058     56347.864910    3225.049339    0.995258
13878     25.000000     21.544420      1883484.909642     380.474667     1297445.329614     1742.325463     910287.622833     1462.270278     1.042185     1.173082     13.533177     166332.605429    63036.082574    42207.151305     35045.682616     1628.562065    0.996077    24.457227    1667548.034554     338.797737     1148479.082749     1551.470448     805858.013031     1302.161385     1.042191     1.175125     15.107856    167155.794833    63345.135337     42412.223408     35214.882297    1628.622753    0.996074
13879     18.000000     15.572210      1895830.284211     452.449979     1321914.512601     2079.381748     924243.633820     1741.526336     1.032572     1.162112     9.770766     121641.426572    46246.906087    31147.270421     25933.370250     1625.004008    0.996762    17.609324    1676513.313899     400.108818     1168990.340245     1838.830836     817323.557281     1540.059843     1.032572     1.162112     11.048951    121641.426572    46246.906087     31147.270421     25933.370250    1625.004008    0.996762
13880     10.000000     8.172440      1924407.829392     597.846363     1357525.509116     2001.427294     950087.793640     1676.766788     1.016599     1.138835     5.667188     65011.128485    24553.910996    16553.831117     13776.232139     826.723066    0.997126    9.692006    1692234.241364     526.101934     1193770.809721     1763.080441     835540.647095     1477.135779     1.016589     1.140067     6.422145    67740.309234    25570.921915     17227.950155     14331.438355    826.805132    0.997123
13881     5.000000     4.338025      1969076.849997     827.081238     1395789.387860     2053.057733     977446.054260     1720.213348     1.905249     2.138313     2.954710     35281.949224    13100.027984    8768.053720     7260.815865     226.149984    0.997495    5.076213    1682731.588942     706.806200     1192812.208981     1754.499882     835304.802185     1470.058084     1.905249     2.138313     3.457504    35281.949224    13100.027984     8768.053720     7260.815865    226.149984    0.997495
