13874	0	0	-nan	-nan	0
13876	0	0	-nan	-nan	0
13877	0	0	-nan	-nan	0
13878	0	0	-nan	-nan	0
13879	0	0	-nan	-nan	0
13880	0	0	-nan	-nan	0
13881	0	0.0130662	0	-nan	0
13882	0	0.00596698	-nan	-nan	0
13874	0	0	-nan	-nan	0
13876	0	0	-nan	-nan	0
13877	0	0	-nan	-nan	0
13878	0	0	-nan	-nan	0
13879	0	0	-nan	-nan	0
13880	0	0	-nan	-nan	0
13881	0	0.0130662	0	-nan	0
13882	0	0.00596698	-nan	-nan	0
13874	0	0	-nan	-nan	0
13876	0	0	-nan	-nan	0
13877	0	0	-nan	-nan	0
13878	0	0	-nan	-nan	0
13879	0	0	-nan	-nan	0
13880	0	0	-nan	-nan	0
13881	0	0.0130662	0	-nan	0
13882	0	0.00596698	-nan	-nan	0
13874	0	0	-nan	-nan	0
13876	0	0	-nan	-nan	0
13877	0	0	-nan	-nan	0
13878	0	0	-nan	-nan	0
13879	0	0	-nan	-nan	0
13874	274044	42.1454	-nan	-nan	274044
13876	419572	34.3804	-nan	-nan	419572
13877	259292	20.2402	-nan	-nan	259292
13878	382990	15.1079	0.0314629	805723	382990
13879	281652	11.049	0.0311857	817404	281652
13880	319959	6.42215	0.0596314	835486	319959
13881	322865	3.40783	0.111792	847486	322865
13882	302	0.0321361	0.0303167	309979	302
13874	274044	42.1454	-nan	-nan	274044
13876	419572	34.3804	-nan	-nan	419572
13877	259292	20.2402	-nan	-nan	259292
13878	382990	15.1079	0.0314629	805723	382990
13879	281652	11.049	0.0311857	817404	281652
13880	319959	6.42215	0.0596314	835486	319959
13881	322865	3.40783	0.111792	847486	322865
13882	302	0.0321361	0.0303167	309979	302
13874	274044	42.1454	-nan	-nan	274044
13876	419572	34.3804	-nan	-nan	419572
13877	259292	20.2402	-nan	-nan	259292
13874	274044	42.1454	-nan	-nan	274044
13876	419572	34.3804	-nan	-nan	419572
13877	259292	20.2402	-nan	-nan	259292
13878	382990	15.1079	-nan	-nan	382990
13879	281652	11.049	-nan	-nan	281652
13874	2.19235e+06	42.1454	-nan	-nan	274044
13876	2.937e+06	34.3804	-nan	-nan	419572
