#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    htrig1_rate_bcm4a[f,13]/     htrig4_rate_bcm4a[f,14]/     htrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      htrig1_rate_bcm4b[f,29]/     htrig4_rate_bcm4b[f,30]/     htrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
1523     35.000000     33.780886      100226.625802     82.230293     71888.863096     207.047887     48202.442894     169.761643     0.989031     1.000421     15.259927     22467.553602    99.933017    3485.677285     4146.605923     99.933017    0.997401    33.664974    100653.826376     84.049367     72174.000183     211.615746     48369.724228     173.464037     0.988878     1.001608     14.668464    22485.467355    99.936002     3488.444433     4150.233564    99.936002    0.997335
1524     35.000000     33.724217      100522.168330     131.583635     72165.444757     247.085433     48263.308487     202.330315     0.988845     1.001524     5.976910     22486.941826    99.944120    3489.975556     4148.067499     99.944120    0.997379    33.658759    100829.651955     134.203124     72403.953795     252.079739     48435.459213     206.446928     0.988527     0.999533     5.763255    22506.019573    99.943926     3493.744844     4152.114434    99.943926    0.997334
1525     40.000000     38.595391      100449.191801     70.565441     72167.484000     235.376870     48459.326324     193.147840     0.314752     0.318029     20.692620     25761.718253    99.936161    3976.812005     4732.874390     99.936161    0.997203    38.497022    100745.298504     71.799064     72411.769144     241.848667     48639.951019     198.492387     0.308785     0.310632     20.046385    25772.912172    99.935553     3978.329515     4734.737506    99.935553    0.997284
1526     25.000000     24.074319      100274.872904     80.759521     71895.402960     231.596742     48295.017548     190.073060     0.418587     0.429337     16.011090     16237.710169    99.933952    2513.983254     2983.370452     99.933952    0.997298    23.999329    100609.227268     81.209494     72135.683380     232.744194     48457.934151     191.017760     0.419108     0.429761     15.886813    16241.964517    99.933673     2514.487607     2983.982359    99.933673    0.997290
1528     15.000000     14.492223      99590.495855     118.087690     71234.541971     238.120127     47709.308167     195.106026     0.493555     0.494170     7.636321     9844.660394    99.934443    1543.222133     1824.918535     99.934443    0.997616    14.431720    100008.018153     118.582759     71533.186047     239.118420     47909.324020     195.923987     0.493555     0.494170     7.604440    9844.660394    99.934443     1543.222133     1824.918535    99.934443    0.997616
1530     5.000000     4.833406      97974.823633     174.583236     70048.200381     216.243473     47079.147644     177.524494     0.384811     0.385235     3.892816     3457.366661    99.933172    573.485241     666.677648     99.933172    0.997243    4.840702    97827.140584     174.320076     69942.613362     215.917517     47008.182709     177.256901     0.384811     0.385235     3.898693    3457.366661    99.933172     573.485241     666.677648    99.933172    0.997243
