#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    ptrig1_rate_bcm4a[f,13]/     ptrig2_rate_bcm4a[f,14]/     ptrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      ptrig1_rate_bcm4b[f,29]/     ptrig2_rate_bcm4b[f,30]/     ptrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
3223     60.000000     59.555466      10023.229143     19.762745     2001.635539     9.225302     912.209700     6.366182     0.911872     0.914550     25.792287     10000524.588874    2677.807202    599.937523     193.500003     2.999445    0.957002    59.778950    3186.749820     11.181707     1994.152379     9.190813     612.948276     5.208711     0.911872     0.914550     25.889073    10000524.588874    2677.807202     599.937523     193.500003    2.999445    0.957002
3224     50.000000     49.691488      9976.876118     17.518426     1998.835388     8.123736     911.673416     5.609369     0.926062     0.921519     32.705829     85708.397161    2195.530240    498.766534     161.065930     3.000709    0.956634    49.895792    3167.906846     9.914398     1990.650942     8.090473     610.105769     4.579372     0.926062     0.921519     32.840296    85708.397161    2195.530240     498.766534     161.065930    3.000709    0.956634
3225     35.000000     34.854074      9877.572831     13.190167     2005.015380     6.080552     916.006186     4.204740     0.946924     0.942776     57.268624     60192.709687    1500.678942    347.272873     114.025529     2.999214    0.955407    34.963575    3175.485244     7.534486     1998.736007     6.061509     615.255170     3.440618     0.946924     0.942776     57.448543    60192.709687    1500.678942     347.272873     114.025529    2.999214    0.955407
