#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    htrig1_rate_bcm4a[f,13]/     htrig2_rate_bcm4a[f,14]/     htrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      htrig1_rate_bcm4b[f,29]/     htrig2_rate_bcm4b[f,30]/     htrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
2073     80.000000     76.117951      4372.719124     14.233673     3768.589920     13.637225     2851.874756     11.874362     0.930494     0.930070     21.777754     118619.260117    1614.317892    557.109453     335.841315     2.998895    0.998121    78.387007    4246.142742     13.821653     3659.501158     13.242471     2769.322010     11.530637     0.930494     0.930070     22.426943    118619.260117    1614.317892     557.109453     335.841315    2.998895    0.998121
2074     70.000000     68.420441      4295.568057     11.999806     3695.670151     11.432119     2797.637169     9.956509     0.938329     0.930408     30.135944     105709.013394    1402.228849    493.183876     296.906120     3.001460    0.998016    68.628128    4282.568492     11.963492     3684.485986     11.397522     2789.170756     9.926377     0.938329     0.930408     30.227421    105709.013394    1402.228849     493.183876     296.906120    3.001460    0.998016
2087     55.000000     54.617867      4318.832908     15.901515     3712.944017     15.040917     2814.612936     13.108391     0.948839     0.953684     17.297266     83818.306674    1086.499006    394.911713     238.885163     2.999721    0.998045    54.807978    4303.852282     15.846357     3700.064992     14.988744     2804.849957     13.062922     0.948839     0.953684     17.357473    83818.306674    1086.499006     394.911713     238.885163    2.999721    0.998045
2088     45.000000     44.726407      4322.686991     15.579956     3729.755750     14.664770     2826.100846     12.777849     0.959018     0.957096     18.084354     69676.280485    871.457855    324.779484     196.335788     2.997531    0.998027    44.870856    4308.771301     15.529801     3717.748793     14.617560     2817.002992     12.736714     0.959018     0.957096     18.142759    69676.280485    871.457855     324.779484     196.335788    2.997531    0.998027
2089     35.000000     34.949122      4346.476882     15.512986     3746.896323     14.507170     2836.190071     12.634397     0.966655     0.972785     18.417675     54732.983993    669.409494    254.699678     154.903735     2.998186    0.997976    35.040767    4331.517772     15.436690     3733.803555     14.435179     2825.506990     12.569981     0.966675     0.972257     18.536459    54714.134813    669.024661     254.515649     154.777832    2.998127    0.997982
2090     20.000000     20.021774      4330.780863     17.057590     3724.998938     15.709606     2829.837203     13.704656     0.980184     0.982213     15.398840     31664.126798    372.232832    146.757663     89.706908     2.996991    0.998228    19.980355    4339.758657     17.092951     3732.720923     15.742172     2835.703516     13.733066     0.980184     0.982213     15.366984    31664.126798    372.232832     146.757663     89.706908    2.996991    0.998228
2091     10.000000     10.303159      4347.182575     18.201067     3748.357140     16.453462     2840.194248     14.335825     0.988949     0.990182     14.000792     16477.566633    189.077295    77.045609     47.787764     2.998050    0.998105    10.187847    4396.386461     18.407077     3790.783196     16.639691     2872.341191     14.498086     0.988949     0.990182     13.844097    16477.566633    189.077295     77.045609     47.787764    2.998050    0.998105
