3224	26298	32.8403	0.885927	903.894	26298
3225	47283	57.4485	0.904521	909.929	47283
3206	61497	41.4392	0.771901	1922.56	61497
3226	15624	27.4414	0.91292	623.668	15624
3207	84903	55.2148	0.789502	1947.67	84903
3210	39684	21.3849	0.926806	2002.25	39684
3211	42712	23.875	0.898676	1990.69	42712
3212	12569	7.27559	0.860649	2007.27	12569
3213	42275	24.6546	0.864398	1983.68	42275
3214	40891	24.6947	0.838886	1973.88	40891
3204	45522	22.6105	0.639552	3148.01	45522
3215	44709	28.0632	0.818196	1947.16	44709
3223	20455	25.8891	0.872733	905.319	20455
3205	62420	29.1974	0.665883	3210.57	62420
3224	26295	32.8403	0.885927	903.791	26295
3217	39693	17.3587	0.715514	3195.79	39693
3225	47273	57.4485	0.904521	909.736	47273
3218	43600	18.0261	0.749198	3228.4	43600
3219	46679	18.4792	0.785512	3215.78	46679
3220	42507	15.4773	0.85114	3226.74	42507
3221	40622	13.8183	0.897124	3276.83	40622
3206	61497	41.4392	0.771901	1922.56	61497
3223	20455	25.8891	0.872733	905.319	20455
3204	45522	22.6105	0.639552	3148.01	45522
3224	26295	32.8403	0.885927	903.791	26295
3207	84903	55.2148	0.789502	1947.67	84903
3205	62420	29.1974	0.665883	3210.57	62420
3225	47273	57.4485	0.904521	909.736	47273
3210	39684	21.3849	0.926806	2002.25	39684
3226	15624	27.4414	0.91292	623.668	15624
3217	39693	17.3587	0.715514	3195.79	39693
3211	42712	23.875	0.898676	1990.69	42712
3212	12569	7.27559	0.860649	2007.27	12569
3213	42275	24.6546	0.864398	1983.68	42275
3218	43600	18.0261	0.749198	3228.4	43600
3214	40891	24.6947	0.838886	1973.88	40891
3219	46679	18.4792	0.785512	3215.78	46679
3215	44709	28.0632	0.818196	1947.16	44709
3220	42507	15.4773	0.85114	3226.74	42507
3221	40622	13.8183	0.897124	3276.83	40622
3206	57800	41.4392	0.771901	1806.98	57800
3204	42580	22.6105	0.639552	2944.56	42580
3226	14863	27.4414	0.91292	593.291	14863
3207	79987	55.2148	0.789502	1834.89	79987
3210	37918	21.3849	0.926806	1913.15	37918
3205	58434	29.1974	0.665883	3005.55	58434
3211	40692	23.875	0.898676	1896.55	40692
3212	11903	7.27559	0.860649	1900.91	11903
3217	37333	17.3587	0.715514	3005.78	37333
3213	40137	24.6546	0.864398	1883.36	40137
3214	38749	24.6947	0.838886	1870.48	38749
3218	41177	18.0261	0.749198	3048.98	41177
3215	42221	28.0632	0.818196	1838.8	42221
3219	44081	18.4792	0.785512	3036.8	44081
3220	40481	15.4773	0.85114	3072.94	40481
3221	38741	13.8183	0.897124	3125.1	38741
3223	19469	25.8891	0.872733	861.679	19469
3224	25006	32.8403	0.885927	859.487	25006
3225	45067	57.4485	0.904521	867.283	45067
3206	62586	41.4392	0.771901	1956.61	62586
3207	86498	55.2148	0.789502	1984.26	86498
