#!Run[i,0]/    set_current[f,1]/   avg_current_bcm4a[f,2]/     sclY4a[f,3]/     sclY_err4a[f,4]/    ntrkY4a[f,5]/    ntrkY_err4a[f,6]/    trkY4a[f,7]/    trkY_err4a[f,8]/    cpuLT_bcm4a[f,9]/     tLT_bcm4a[f,10]/    Qtot_bcm4a[f,11]/    hs1x_rate_bcm4a[f,12]/    ptrig1_rate_bcm4a[f,13]/     ptrig2_rate_bcm4a[f,14]/     ptrig3_rate_bcm4a[f,15]/    hedtm_rate_bcm4a[f,16]/   h_eTrkEff_bcm4a[f,17]/      avg_current_bcm4b[f,18]/     sclY4b[f,19]/     sclY_err4b[f,20]/    ntrkY4b[f,21]/    ntrkY_err4b[f,22]/    trkY4b[f,23]/    trkY_err4b[f,24]/    cpuLT_bcm4b[f,25]/     tLT_bcm4b[f,26]/    Qtot_bcm4b[f,27]/     hs1x_rate_bcm4b[f,28]/      ptrig1_rate_bcm4b[f,29]/     ptrig2_rate_bcm4b[f,30]/     ptrig3_rate_bcm4b[f,31]/    hedtm_rate_bcm4b[f,32]/   h_eTrkEff_bcm4b[f,33]/
3206     80.000000     76.114911      6700.446755     12.949899     4411.508494     11.633751     1999.366547     8.027966     0.811013     0.813880     40.190156     336793.230910    8436.912150    1454.548598     513.005691     3.001783    0.951774    78.480500    6498.479350     12.559558     4278.535079     11.283082     1939.100881     7.785984     0.811013     0.813880     41.439233    336793.230910    8436.912150     1454.548598     513.005691    3.001783    0.951774
3207     70.000000     68.448194      6560.155237     10.954914     4325.498117     9.735276     1972.394639     6.737926     0.829376     0.805141     55.028576     298822.078835    7133.302392    1280.793017     452.030985     3.000206    0.951923    68.679824    6538.030465     10.917967     4310.909919     9.702443     1965.742528     6.715201     0.829376     0.805141     55.214793    298822.078835    7133.302392     1280.793017     452.030985    3.000206    0.951923
3210     10.000000     10.039271      6624.839054     17.889430     4359.898211     14.413300     1999.569116     9.986243     0.970083     0.973546     21.634186     45298.364848    796.410270    190.234985     69.508151     2.999597    0.955394    9.932892    6697.803120     18.092089     4408.140663     14.577086     2021.425037     10.099049     0.970077     0.973676     21.384922    45310.938039    796.667266     190.296505     69.528173    2.999619    0.955367
3211     20.000000     19.947133      6645.793610     16.858888     4380.495038     13.945248     2007.287651     9.664953     0.942028     0.947442     23.911516     89607.789961    1664.945273    376.945210     135.564333     2.999805    0.953980    19.916641    6655.968184     16.884699     4387.201518     13.966597     2010.360754     9.679750     0.942028     0.947442     23.874964    89607.789961    1664.945273     376.945210     135.564333    2.999805    0.953980
3212     35.000000     34.732735      6669.545599     30.511539     4402.832412     25.917854     2029.743346     18.027391     0.903202     0.905751     7.256866     155108.029316    3113.550089    655.425536     234.647712     2.996154    0.952887    34.822354    6652.380765     30.433014     4391.501162     25.851152     2024.519571     17.980996     0.903202     0.905751     7.275591    155108.029316    3113.550089     655.425536     234.647712    2.996154    0.952887
3213     35.000000     34.804212      6686.169879     16.595644     4388.522878     14.049191     2008.123442     9.719926     0.904201     0.894762     24.589564     155348.752592    3117.957865    657.017231     235.706117     2.999245    0.955980    34.896228    6668.539509     16.551884     4376.950993     14.012145     2002.828342     9.694296     0.904201     0.894762     24.654574    155348.752592    3117.957865     657.017231     235.706117    2.999245    0.955980
3214     45.000000     44.726777      6635.225327     16.498261     4372.842394     14.201583     1996.732581     9.831827     0.880525     0.864407     24.623429     198793.588194    4200.850670    841.365709     299.772987     3.000745    0.952711    44.856322    6616.062785     16.450614     4360.213684     14.160569     1990.965997     9.803433     0.880525     0.864407     24.694748    198793.588194    4200.850670     841.365709     299.772987    3.000745    0.952711
3215     55.000000     54.587700      6601.920107     15.426577     4340.485409     13.442675     1970.128345     9.278001     0.858694     0.848958     27.972317     241110.872247    5353.844842    1022.522278     363.381121     2.997489    0.952837    54.765038    6580.541946     15.376623     4326.430176     13.399145     1963.748749     9.247957     0.858694     0.848958     28.063190    241110.872247    5353.844842     1022.522278     363.381121    2.997489    0.952837
